product; brand; current_price; offer_date
Televisor LED Samsung 109cms (43") UHD 4K Smart TV - UN43NU7100;SAMSUNG;1049792;2018-11-12
Nevera 246l DispensadoR-Gris - NVARS2461P;ABBA;719120;2018-11-12
Televisor Led 49 Pulgadas 119 Cms Uhd  4k Smart tv - 49UJ635T.A;LG;1679940;2018-11-12
Colchón Barthon Bronce Doble 140 X 190cm - MEDIUM;BARTHON;451740;2018-11-12
Televisor LED Samsung 136cms (55") UHD 4K Smart TV - UN55NU7300;SAMSUNG;2499583;2018-11-12
Celular Motorola Moto Z2 Play 4gb 64gb 5.5 + Mod Batería - XT1710;MOTOROLA;1199940;2018-11-12
Lavadora  12kg 26 Libras Gris - WM120A G;ABBA;923920;2018-11-12
Combo Colchón Doble SENSI FOAM +Base 140x190 cm +2 almohadas. - SENSIFOAM;SPRING;1249950;2018-11-12
Celular Asus Zenfone 4 Max Negro 3gb 32gb 5.2 Pulgadas - ZC520KL-4A;ASUS;439939;2018-11-12
Computador Portatil Intel Core I3 8gb 1tb 15.6 Pulgadas - 320-15ISK;LENOVO;1299058;2018-11-12
Nevera Himalaya 430 de 425,60 Litros Haceb No Frost ti - N 430LSE2P;HACEB;1599856;2018-11-12
Combo Colchón Basic I Pillow 120x190cm +base Cama+almohada - BASIC1 PIL;BARTHON;438450;2018-11-12
Nevera Himalaya 375  de 382,29 Litros Haceb No Frost ti - N375 LSE2P;HACEB;1419856;2018-11-12
Nevera 229,21 Litros Haceb No Frost - N220LSE2PD;HACEB;959878;2018-11-12
Colchón Fantasia Blue Lexus Sencillo 100 X 190 cm - CCBL100190;FANTASIA;360480;2018-11-12
Colchón Fantasia Blue Balanced Doble 140x190 cm - CDBB140190;FANTASIA;751440;2018-11-12
Colchón Fantasia Blue Lexus Semidoble 120 X 190 cm - CCBL120190;FANTASIA;445260;2018-11-12
Colchón Fantasia Blue Restek Doble 140x190 cm - CDBR140190;FANTASIA;591180;2018-11-12
Minicomponente - OM4560;LG;427425;2018-11-12
Combo Colchón Celeste 140x190cm+Base+Cubrecama+2 almohadas - COMCELE141;CONFORT VITAL;991960;2018-11-12
Tv Led 82 Pulgadas Uhd 4k Smart tv - UN82MU7000;SAMSUNG;7499970;2018-11-12
Celular Samsung Galaxy J2 Prime 8Gb 1.5Gb (5") Negro - SM-G532M;SAMSUNG;289907;2018-11-12
Celular Samsung Galaxy J2 Prime Dorado - SM-G532MZK;SAMSUNG;226643;2018-11-12
Nevera Minibar 97 Litros Abba - NVARS1211P;ABBA;478720;2018-11-12
Combo Colchón Basic I Pillow 140x190cm+basecama+2almohadas. - BASIC1 PIL;BARTHON;446450;2018-11-12
Combo Colchón Bassic Doble 140 x 190cm+Base+2Almohadas. - COMBASS141;CONFORT VITAL;593250;2018-11-12
Styler Máquina Afeitadora + 1 Cartucho;GILLETTE;;2018-11-12
Colchón Fantasia Blue Lexus Doble 140 X 190 cm - CCBL140190;FANTASIA;510060;2018-11-12
Combo Colchón Doble AJUSTE PERFECTO + Base Cama 140x190cm - AJUSTE;SPRING;1390950;2018-11-12
Escritorio Archivador - ES4603;INVAL;134940;2018-11-12
Aire Portatil 12000btu A 115v - HY12KPAC;HYUNDAI;1069879;2018-11-12
Combo Colchón Restek Sencillo 100x190 Cm+ Lenceria - MRESTEK100;FANTASIA;654540;2018-11-12
Combo Bronce 100x190 Nova - BRONCENOVA;EL DORADO;667450;2018-11-12
Silla Comedor Animalitos Rosa - K08AP;BEBESIT;122520;2018-11-12
Microcomponente - CM1560.ACO;LG;232425;2018-11-12
Televisor LED Samsung 134cms (55") UHD 4K Smart TV - UN55NU7100;SAMSUNG;1799624;2018-11-12
Celular Asus Zenfone 4 Max Negro 2gb 16gb 5.2 Pulgadas - ZC520KL-4A;ASUS;368978;2018-11-12
Tv Premium 140cms (55 )uhd Sma - UN55NU8500;SAMSUNG;2399658;2018-11-12
Celular Samsung Galaxy A8 64Gb 4Gb (5.6") Dorado - SM-A530FZD;SAMSUNG;949987;2018-11-12
Nevera Sin Escarcha 420 L Gris - RMP420FYCU;MABE;1148950;2018-11-12
Celular Samsung Galaxy A6 32Gb 3Gb (5.6") Negro - SM-A600GZK;SAMSUNG;619904;2018-11-12
Tv Led 99 Cms (39 ) Smart Pack - LE39M1571;AOC;619876;2018-11-12
Televisor LED Samsung 124cms (49") Full HD Smart TV - UN49J5290A;SAMSUNG;1119878;2018-11-12
Lavadora Digital 14kg - 31 Lbs - LMA4120WPA;MABE;924000;2018-11-12
Tv Led 147 Cm (58 ) Uhd Smart - UN58NU7100;SAMSUNG;1999550;2018-11-12
Computador Portatil Asus Amd A9-9425 8gb 1tb 14 Pulgadas - X441BA-GA;ASUS;999844;2018-11-12
Nevecon Samsung Side By Side 649 Litros Black Edition - RS25H5005S;SAMSUNG;3724275;2018-11-12
Celular Samsung Galaxy J4 32Gb 2Gb (5.5") Dorado - SM-J400MZD;SAMSUNG;369922;2018-11-12
Celular Samsung Galaxy J6 32Gb 2Gb (5.6") Negro - SM-J600GZK;SAMSUNG;469913;2018-11-12
Celular Samsung Galaxy Note 8 Negro 6gb 64gb 6.3 Pulgadas - SM-N950FZK;SAMSUNG;2200037;2018-11-12
Tv Led 106 Cms (43 ) Fhd Smart - 43LK5700PD;LG;949785;2018-11-12
Nevecon Samsung FAMILY HUB 701 Litros Black Edition - RF265BEAES;SAMSUNG;7649100;2018-11-12
Armario 6 Puertas 4 Cajones - AM19023;INVAL;434445;2018-11-12
Celular Samsung Galaxy A8 64Gb 4Gb (5.6") Negro - SM-A530FZK;SAMSUNG;949987;2018-11-12
Celular Samsung Galaxy J6 32Gb 2Gb (5.6") Dorado - SM-J600GZD;SAMSUNG;469913;2018-11-12
Celular Samsung Galaxy J4 32Gb 2Gb (5.5") Negro - SM-J400MZK;SAMSUNG;369922;2018-11-12
Celular Motorola Moto G5s Plus Dorado 3gb 32gb 5.5 Pulgadas - PA6T0013CO;MOTOROLA;649935;2018-11-12
Celular Samsung Galaxy A6 Plus 32Gb 3Gb (6") Dorado - SM-A605GZD;SAMSUNG;999883;2018-11-12
Tv Led 80 Cms (32) hd - LE32M1570;AOC;419870;2018-11-12
Celular Samsung Galaxy J4 32Gb 2Gb (5.5") Violeta - SM-J400MZV;SAMSUNG;369922;2018-11-12
Escritorio Tokio Tabacco Chic - ES4603;INVAL;134940;2018-11-12
Nevecon Samsung Inverter Tipo Europeo 711 Litros - RF26J7500S;SAMSUNG;4535370;2018-11-12
Armario 3 Puertas Am8523 Amare - AM8523AMA;INVAL;353940;2018-11-12
Nevera Sin Escarcha 668 L - LS65SXT.AM;LG;5480937;2018-11-12
lavadora Samsung 35Lb 16Kg Silver - WA16F7L6DA;SAMSUNG;1239000;2018-11-12
Celular Motorola Moto G5s Plus 3gb 32gb 5.5 Pulgadas - PA6T0013CO;MOTOROLA;649935;2018-11-12
Celular Asus Zenfone 4 Max Plus Negro 3gb 32gb 5.7 Pulgadas - ZB570TL-4A;ASUS;579020;2018-11-12
Combo Colchón Doble MANDARA ONE + Base Cama 140x190 cm - AGATHA;SPRING;795842;2018-11-12
Estufa  24  Inox  Fund Grill - INGENIOUS606CX5;MABE;717500;2018-11-12
Armario 6 Puertas 4 Cajones - ARMARIO AM;INVAL;434445;2018-11-12
Silla Escritorio C B Negro - QZY-A18R;FINLANDEK;74130;2018-11-12
Televisor LED Samsung 127cms (50") UHD 4K Smart TV - UN50NU7100;SAMSUNG;1699787;2018-11-12
Crema Dental Triple Acción X 150 ml;COLGATE;;2018-11-12
Mesa De Tv 2 Puertas Tv Hasta - MTV17519;INVAL;194935;2018-11-12
Celular Asus Zenfone 5 Selfie Pro Rojo 4gb 64gb 6 Pulgadas - ZC600KL-5C;ASUS;918989;2018-11-12
Colchon Confort Vital Doble Vital Plus 140 x 190cm - EPLU1419;CONFORT VITAL;308250;2018-11-12
Tv Led 107 Cms (42 )fhd Smart - HYLED423IN;HYUNDAI;909930;2018-11-12
Tablet Samsung Galaxy Tab E 7 Pulgadas WiFi Negra - T113NYKUCO;SAMSUNG GALAXY;229884;2018-11-12
Celular Samsung Galaxy J2 Pro 16Gb 1.5Gb (5") Negro - SM-J250MZK;SAMSUNG;339879;2018-11-12
Portatil Lenovo Ideapad 320 Amd A12 15.6 Pulgadas - IP320;LENOVO;1514914;2018-11-12
